MFI ID,MFI Name,MFI Full Name,Country,Region,Last known legal status,Last known profit status
100382,MECZOP,Mutuelle d'Epargne et de Crédit de la Zone de Potou,Senegal,Africa,Credit Union / Cooperative,Non-profit
170125,MECZY,Mutuelle d'Epargne et de Crédit de la Zone Yoff,Senegal,Africa,Credit Union / Cooperative,Unknown
100538,MEDF,Mindanao Enterprise Development Foundation,Philippines,East Asia and the Pacific,NGO,Non-profit
170660,MEEC PAT,MUTUELLE D'ENTRAIDE D'EPARGNE ET DE CREDIT DU PERSONNEL DE L'ADMINISTRATION TERRITORIALE,Senegal,Africa,Credit Union / Cooperative,Unknown
176772,Mega Leasing Plc,MEGA LEASING PLC,Cambodia,East Asia and the Pacific,Unknown,Unknown
104302,Meket,Meket Micro Finance Institution,Ethiopia,Africa,NBFI,Unknown
100106,Meklit,Meklit,Ethiopia,Africa,NBFI,Profit
102514,Mentors - GTM,Mentors Guatemala,Guatemala,Latin America and The Caribbean,NGO,Non-profit
102497,Mentors - PER,Mentors Peru,Peru,Latin America and The Caribbean,NGO,Non-profit
102499,Mentors - SLV,Mentors El Salvador,El Salvador,Latin America and The Caribbean,NGO,Non-profit
134666,Mentors Philippines,MENTORS PHILIPPINES MICROFINANCE FOUNDATION. INC.,Philippines,East Asia and the Pacific,NGO,Unknown
102049,Mepe RB,Mepe Area Rural Bank,Ghana,Africa,Rural Bank,Profit
169682,MES,Mehran Educational Society,Pakistan,South Asia,NGO,Non-profit
104470,Metallist,,Russia,Eastern Europe and Central Asia,Credit Union / Cooperative,Non-profit
100265,Metemamen,Metemamen,Ethiopia,Africa,NBFI,Profit
140690,MFCDI,Microfinance Fund for Community Development,Vietnam,East Asia and the Pacific,NGO,Non-profit
169345,MFDC,Mongolian Finance Development Corporation,Mongolia,Eastern Europe and Central Asia,NBFI,Profit
176749,MFIL,Myanmar Finance International Limited,Myanmar (Burma),East Asia and the Pacific,NBFI,Profit
165317,MFO BIG,MFO Business Investment Group,Georgia,Eastern Europe and Central Asia,NBFI,Profit
100695,MFSC,Muhame Financial Services Cooperative Ltd.,Uganda,Africa,Credit Union / Cooperative,Non-profit
100442,MFW,Microfund for Women,Jordan,Middle East and North Africa,NBFI,Non-profit
100144,MGBB,Madhyamanchal Grameen Bikas Bank Ltd.,Nepal,South Asia,Rural Bank,Profit
101731,MGPCC DEKAWOWO,Mutuelle des Groupements de Producteurs de Café et Cacao,Togo,Africa,Credit Union / Cooperative,Non-profit
144898,mi Casita,EDPYME miCasita,Peru,Latin America and The Caribbean,NBFI,Profit
101702,MI Credit,Montenegro Investments Credit,Montenegro,Eastern Europe and Central Asia,NBFI,Profit
178394,MIA Finance,MIA Finance Plc,Cambodia,East Asia and the Pacific,Unknown,Unknown
100346,MiBanco,MiBanco Banco de la Microempresa SA,Peru,Latin America and The Caribbean,Bank,Profit
102110,MiBanco Venezuela,"MiBanco Banco de Desarrollo, CA",Venezuela,Latin America and The Caribbean,Bank,Profit
100307,MI-BOSPO,MI-BOSPO Tuzla,Bosnia and Herzegovina,Eastern Europe and Central Asia,NBFI,Non-profit
101608,MICREDITO El Salvador,"Micronegocios, S.A. de C.V.",El Salvador,Latin America and The Caribbean,NBFI,Profit
115187,MiCredito Nicaragua,"Empresa para el Apoyo y Desarrollo de la Micro y Pequeña Empresa Urbana y Rural, S.A.",Nicaragua,Latin America and The Caribbean,NBFI,Profit
102215,Micredito SAC,Micredito SAC,Peru,Latin America and The Caribbean,NBFI,Profit
170606,Micro Banco Fides Mo?ambique S.A.,,Mozambique,Africa,NBFI,Profit
101805,Micro Credit Ltd,Micro Credit Ltd,Jamaica,Latin America and The Caribbean,NBFI,Profit
169399,Micro Options,Micro Options,Pakistan,South Asia,NGO,Unknown
104319,Micro Start,,Burkina Faso,Africa,NGO,Non-profit
136003,MicroCred - CIV,MicroCred Côte d'Ivoire SA,Cote d'Ivoire (Ivory Coast),Africa,NBFI,Profit
102520,MicroCred - MDG,MicroCred Madagascar,Madagascar,Africa,NBFI,Profit
102546,MicroCred - MEX,MicroCred Mexico SAPI de CV SOFOM ENR,Mexico,Latin America and The Caribbean,NBFI,Profit
102091,MicroCred - Nanchong,MicroCred Nanchong,"China, People's Republic of",East Asia and the Pacific,NBFI,Profit
128417,MicroCred - Sichuan,MicroCred - Sichuan,"China, People's Republic of",East Asia and the Pacific,NBFI,Unknown
169631,Microcredit,JSC MFO Microcredit,Georgia,Eastern Europe and Central Asia,NBFI,Profit
101788,Microempresas de Colombia,Corporación Microempresas de Colombia,Colombia,Latin America and The Caribbean,NGO,Non-profit
129924,Microfin Plus,Microfin Plus Ghana Ltd.,Ghana,Africa,NGO,Non-profit
106072,Microfin Uruguay,Microfinanzas del Uruguay S.A.,Uruguay,Latin America and The Caribbean,Other,Profit
145722,"Microfinance Fund, Hai Phong","Microfinance Fund, Hai Phong",Vietnam,East Asia and the Pacific,NGO,Unknown
143478,Microfinance Kyrgyzstan,"JSC MicroCredit Company ""Microfinance""",Kyrgyzstan,Eastern Europe and Central Asia,NBFI,Profit
165344,"Microfinance Program- Women's Union, Ben Tre Province","Microfinance Program- Women's Union, Ben Tre Province",Vietnam,East Asia and the Pacific,Unknown,Unknown
102175,Microfinanciera Prisma,"Micro Financiera Prisma de Honduras, S.A.",Honduras,Latin America and The Caribbean,NBFI,Profit
100642,Microfinanzas PRISMA,Microfinanzas Prisma Cooperativa de Ahorro y Crédito,Peru,Latin America and The Caribbean,Credit Union / Cooperative,Non-profit
100446,MICROFUND,MICROFUND,Togo,Africa,Credit Union / Cooperative,Non-profit
100632,Microinvest,JV MFO Microinvest LLC,Moldova,Eastern Europe and Central Asia,NBFI,Profit
100394,MicroKing,MicroKing Finance,Zimbabwe,Africa,NBFI,Profit
